ID,Why_Stopped,Enrollment_Count,Primary_Outcome_Measure
BTX-BCI-016-PRT,,3000,"To determine BCI test performance by evaluating the long-term outcome of BCI risk groups over the follow-up period., To determine medication adherence in patients undergoing extended endocrine therapy."
2018-TJ-BCD,,2300,Diagnostic potential of SEMA4C as a biomarker for breast cancer
Breast cancer,,80,Role of SORCIN in patients with breast cancer
BC-BOMET,,30,SENP1 expression
241391,,600,Performance of the Syantra DX Breast Cancer test as assessed by sensitivity and specificity
IL-TM-B1-01,,200,"This study is intended to evaluate the sensitivity and specificity of the TM-B1 test compared to the Gold Standard diagnostic methods and clinical evaluations based on Digital X-Ray Mammography (XRM), and / or ultrasound, and / or MRI and / or pathology."
FH-Risk 2.0 Research Protocol,,271,"To explore how much new risk models change breast cancer risk estimates, To compare breast cancer risk models, ""To explore womens risk appraises and experiences of receiving a revised breast cancer risk estimate"
ID-RPSBC-01-20201012,,316,"Absolute risk difference between breast cancer patients and non-breast cancer patients in terms of their non-genetic risk, Absolute risk difference between breast cancer patients and non-breast cancer patients in terms of their genetic risk"
IRST174.22,,60000,To compare the cumulative incidence of stage 2 or higher breast cancer between different screening intervals
ANILERGİNN,,300,breast cancer incidence after laparoscopic sleeve gastrectomy
32155120.7.0000.0072,,105,Change in Global Health Status by EORTC QLQ-C30 (European Organization for Research and Treatment of Cancer Core Quality of Life Questionnaire)
GCO 17-2188,,168,"Mammogram intention, Mammogram location and appointment"
233756,,15,To evaluate the efficacy of the HIFU treatment in achieving cancer ablation
D16196,,18,The proportion of patients who had the localization wire placed within the cancer on the specimen mammogram
RO1912-30902,,166,"Chest wall pain, Dysphagia, Skin, Pulmonary Toxicity, Brachial plexopathy, Lymphedema"
UMCC 2021.087,,40,"Acceptability of Intervention (AIM) Survey, Intervention Appropriateness Measure (IAM), Engagement with the patient decision aid"
LNs Staging of Breast cancer,,50,Diagnostic accuracy of preoperative ultrasound-guided axillary lymph node biopsy for staging in patients with newly diagnosed breast cancer.
SA18i0002,,3269,Informed choice for breast cancer screening
494936,,80,Assessment of breast cancer risk by polygenetic risk score in the study population
042210,,16,"Measure glycolysis metabolism dependencies of hormone receptor positive/HER2 negative breast cancer using Liquid chromatography-mass spectrometry (LC-MS), Measure glycolysis metabolism dependencies of hormone receptor positive/HER2 negative breast cancer using Nuclear Magnetic Resonance (NMR) spectroscopy in parts per million (ppm)."
Yuan Shifang-1,,120,The level of CTC markers in breast cancer patients peripheral blood
(818)109A-57,,70,"Change from the baseline score of the Symptom-Management Self-Efficacy Scale-Breast Cancer, SMSES-BC at the third chemotherapy (T1) and the sixth chemotherapy (T2)., Change from the baseline score of the Social Support Scale at the third chemotherapy (T1) and the sixth chemotherapy (T2)., Change from the baseline score of the Functional Assessment of Cancer Therapy - Breast, FACT-B at the third chemotherapy (T1) and the sixth chemotherapy (T2)."
21 SEIN 01,,61,Rate of patients with cancer cell / macrophage hybrid cells in peripheral blood defined as the ratio of the number of patients with hybrid cells to the total number of patients.
18-181,,100,Precision and reliability
catheter guided chemo-infusion,,50,Lesion size after chemotherapy
2020/132,,150,"Health Belief Model Scale, Mammography Self-efficacy scale, Champion Breast Cancer Fear Scale, Motivational interview"
17-689,,82,Diagnostic accuracy of CESM compared with breast MRI for breast cancer screening
831804,,30,Kinetics and Biodistribution of [18F]F-GLN
PI-2842,,66,Dietary habits of a group of women with pre and post-surgical breast cancer
NCC2985,,1000,"Clinical features and trend, Diagnosis and treatment and trend, Survival situation and change trend"
260281,,65,Image quality of 23Na-MRI in the breast evaluated radiologically after each 23Na-MRI scan in healthy volunteers and patients.
V1 11.12. 2020 (C.I.R.E.C.),,500,miRNA levels in plasma
154/2019,Pandemic situation,36,"Pressure pain threshold over the shoulder of breast cancer patients after a physical therapy rehabilitation program following the surgery., Pressure pain threshold over the shoulder of breast cancer patients after a physical therapy rehabilitation program following the surgery., Strength grip of breast cancer patients after a physical therapy rehabilitation program following the surgery., Strength grip of breast cancer patients after a physical therapy rehabilitation program following the surgery."
Amr Ahmed,,200,"invasive Disease Free Survival at 3 Years from the time of randomization until the occurrence of the first of the following events: invasive local/regional recurrence, Contralateral invasive breast cancer, Distant recurrence, Death from any cause"
CLM-INS-004,,226,Prevalence of insomnia in a cohort of breast cancer patients
2022-11-076-002,,1464,Cancer detection rate (CDR)
Health Literacy of Breast Ca,,60,"Information Form, Health Literacy Scale, Health Literacy Scale, Health Literacy Scale, Breast Cancer Screening Beliefs Scale, Breast Cancer Screening Beliefs Scale, Breast Cancer Screening Beliefs Scale"
miRNA in breast cancer,,50,Assess serum miRNA-373 and miRNA-425-5p expression in patients with breast cancer.
MC1933,,100,Generate patient derived xenografts (PDX) and organoids from breast cancer patients with residual disease after neoadjuvant therapy
RADIOVAL,,5000,Percentage of patients non-respondents vs respondents in neoadjuvant breast cancer treatment (Estimate tumor aggressiveness)
CE21096B,,300,the rehabilitation time
ZY(2018-2020)-CCCX-2005-04,,200,"Disease free survival, Difference in quality of life scores as assessed by EORTC QLQ-C30, Difference in quality of life scores as assessed by EORTC QLQ-BR23"
MicroRNA in breast cancer,,50,"assessment of the value of MiRNA in diagnosis and prognosis of breast cancer patients, correlat MiRNA expression with MRI findings for better selection of treatment plan and out come"
GEICAM/2016-04,,777,"General condition: Age, General condition: performance status at diagnosis, General condition and history: substance abuse, Diagnosis of other primary tumors, Body mass index (BMI), Primary comorbidities, Mutational status of BReast CAncer gene (BRCA) or other genes of genetic predisposition, Family history of cancer, Anatomopathological characteristics of the tumor: date of diagnosis, Anatomopathological characteristics of the tumor: histology, Anatomopathological characteristics of the tumor: clinical and/or pathological stage, Anatomopathological characteristics of the tumor: hormone-receptor expression, Anatomopathological characteristics of the tumor: Human Epidermal Growth Factor Receptor 2 (HER-2) expression, Anatomopathological characteristics of the tumor: histologic grade, Anatomopathological characteristics of the tumor: Ki-67, Anatomopathological characteristics of the tumor: lymphovascular invasion, Treatment data: date of surgery, Treatment data: type of surgery, Treatment data: type of chemotherapy, Treatment data: adjuvant radiotherapy, Treatment data: adjuvant hormonotherapy, Treatment data: other type of anti-cancer treatment, Follow-up data: relapse type, Follow-up data: site of metastatic disease, Follow-up data: occurrence of other primary tumors, Follow-up data: current condition"
22IC7498,,34047,"Percentage uptake of breast cancer screening at three months- Intention to Treat, Percentage uptake of breast cancer screening at three months- Per Protocol"
BMIBC,,300,The percentage of obese breast cancer patients with response to treatment compared to non obese breast cancer patients.
3.0840453,,135,Progression free survival
18 SEIN 11,,55,Rate of patients with successful mastectomy strategy by immediate reconstruction.
HKG-KZ-BrCa-101,Technical problem with plasma blood samples obtained from the patients,165,DNA methylation of circulated tumor and PBMC DNA and its Correlation to Development and prediction of breast cancer
Hibiscuss,,181,"Accuracy, Sensitivity, Specificity, Positive predictive value, Negative predictive value for breast cancer detection"
Pro00107118,,15,The proportion of patients with successful generation of PDMO from the patients biopsy
SNAPS Breast Cancer,study did not start and is currently on pause,500,Primary Aim
17-447,Principal investigator left the study institution.,0,"PET-MRI Visualization and Quantification of Breast Tumor Uptake of [11C]Martinostat Above Background Uptake, as Assessed by SUV Measurements"
22-509,,15,"Recruitment Retention Rate, Time Required to Recruit to Target, Proportion of Eligible Participants, Rate of Intervention Completion, Success Rate of Educational Intervention, Data collection feasibility"
ZCHBC022,,40,"Correlation between DCE-MRI parameters combined with IVIM parameters and short-term efficacy of chemotherapy in patients with liver metastasis of breast cancer, Correlation between DCE-MRI parameters combined with IVIM parameters and long-term efficacy of chemotherapy in patients with liver metastasis of breast cancer"
R.18.02.34.R1.R2,,650,Prevalence of HCV Seropositivity in Breast Cancer Patients.
ID-BCRPS-02-20220913,,20,Focus Group Discussions
