ID,title,status,study_type,arm_group_type,intervention_type,interventional_type_model,phase,fda_regulated_drug,fda_regulated_device
IRST174.22,What is the Best Interval to Screen Women 45-49 and 70-74 for Breast Cancer?,Recruiting,Interventional,"No Intervention, Experimental, Experimental",Diagnostic Test,Parallel Assignment,Not Applicable,No,No
GCO 17-2188,Increasing African Immigrant Womens Participation in Breast Cancer Screening,Recruiting,Interventional,Other,Behavioral,Single Group Assignment,Not Applicable,No,No
233756,The HIFUB Study (HIFU in Breast Cancer),Not yet recruiting,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,No
D16196,A Pilot Multi-Institutional Study to Evaluate the Accuracy of a Breast Cancer Locator in Patients With Palpable Cancers,Completed,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,Yes
RO1912-30902,RCT Comparing 2 Radiotherapy HypoFractionation Schedules In Breast Cancer Patients,Unknown status,Interventional,"Other, Experimental",Radiation,Parallel Assignment,Not Applicable,No,No
UMCC 2021.087,Avoiding Low-value Treatments in Older Women With Early-stage Breast Cancer: Piloting a Patient Decision Aid,Recruiting,Interventional,Experimental,Behavioral,Single Group Assignment,Not Applicable,No,No
LNs Staging of Breast cancer,Role of Ultrasound-Guided Lymph Node Biopsy in Axillary Staging of Breast Cancer.,Unknown status,Interventional,Other,Procedure,Single Group Assignment,Not Applicable,No,No
SA18i0002,The Effect of a Patient Decision Aids for Breast Cancer Screening,Recruiting,Interventional,"Active Comparator, Placebo Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No
494936,Clinical Pilot Study for Personalized Risk-based Breast Cancer Screening,Recruiting,Interventional,Experimental,Genetic,Single Group Assignment,Not Applicable,No,No
042210,Investigating the Metabolic Pathways in Hormone Receptor Positive/HER2 Negative Breast Cancer,Not yet recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 1,Yes,No
(818)109A-57,Mobile Application Support for Women With Breast Cancer Undergoing Chemotherapy,Recruiting,Interventional,"Experimental, No Intervention",Device,Parallel Assignment,Not Applicable,No,No
21 SEIN 01,Circulating Cancer Cells/Macrophage HYbrid Cells in Patients With Breast Cancer.,Completed,Interventional,Other,Other,Single Group Assignment,Not Applicable,No,No
18-181,Exploring the Efficacy and Feasibility of the LymphaTech Scanner for Breast Cancer-Related Lymphedema Screening,Recruiting,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No
catheter guided chemo-infusion,Catheter Guided Chemo-infusion in Breast Cancer,Not yet recruiting,Interventional,Experimental,Procedure,Single Group Assignment,Not Applicable,No,No
2020/132,Nurse Navigation Program Based On Health Belief Model In Breast Cancer Screening (NaHeB-CaS),Completed,Interventional,"Experimental, No Intervention",Behavioral,Single Group Assignment,Not Applicable,No,No
17-689,Contrast Enhanced Spectral Mammography vs. MRI for Breast Cancer Screening,"Active, not recruiting",Interventional,Experimental,"Device, Device",Single Group Assignment,Not Applicable,No,Yes
831804,[18F] F-GLN by PET/CT in Breast Cancer,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 1,Yes,No
154/2019,Short and Long Term Effects of a Physical Therapy Program After Breast Cancer Surgery,Suspended,Interventional,"Experimental, Other",Other,Parallel Assignment,Not Applicable,No,No
Amr Ahmed,"The Study of Quadruple Therapy Quercetin, Zinc, Metformin, and EGCG as Adjuvant Therapy for Early, Metastatic Breast Cancer and Triple-negative Breast Cancer, a Novel Mechanism",Not yet recruiting,Interventional,"Experimental, Experimental",Combination Product,Parallel Assignment,Early Phase 1,Yes,No
2022-11-076-002,Comparison of Ultrasound and Breast MRI for Breast Cancer Detection,Not yet recruiting,Interventional,"Experimental, Experimental",Diagnostic Test,Crossover Assignment,Not Applicable,No,No
Health Literacy of Breast Ca,The Effect of Breast Cancer Screening Training,Not yet recruiting,Interventional,"Experimental, No Intervention",Other,Parallel Assignment,Not Applicable,No,No
ZY(2018-2020)-CCCX-2005-04,Evaluating the Clinical Value of Traditional Chinese Medicine in the Adjuvant Therapy of Triple-negative Breast Cancer,Recruiting,Interventional,"Experimental, Placebo Comparator","Drug, Drug",Parallel Assignment,Phase 3,No,No
22IC7498,Behavioural Science Messages in Breast Cancer Screening,Completed,Interventional,"Active Comparator, Experimental, Experimental","Behavioral, Behavioral, Other",Parallel Assignment,Not Applicable,No,No
18 SEIN 11,"Prospective, Multicentric Study Evaluating the Surgical Treatment by Mastectomy With Immediate Prosthetic Breast Reconstruction in Patients With Breast Cancer and Receiving Adjuvant Therapy by TomoTherapy +/-Chemotherapy.",Recruiting,Interventional,Experimental,Other,Single Group Assignment,Phase 2,No,No
17-447,Imaging With [11C]Martinostat in Breast Cancer,Withdrawn,Interventional,Experimental,"Drug, Device",Single Group Assignment,Phase 1,Yes,No
22-509,Breast Cancer Survivor Educational Intervention,Recruiting,Interventional,Experimental,Behavioral,Single Group Assignment,Not Applicable,No,No
ID-BCRPS-02-20220913,The Perspective of Healthy Individuals on Breast Cancer Risk Prediction Report In The Indonesian Population,Recruiting,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No
17-01549,Gradient-Echo Spectroscopic Imaging Study of Saturated Fat and Breast Cancer,Recruiting,Interventional,"Active Comparator, Active Comparator","Diagnostic Test, Diagnostic Test",Single Group Assignment,Not Applicable,No,Yes
202101073,Project Insight: Feasibility of a Breast Cancer Screening Decision Support Tool,Completed,Interventional,"Experimental, Active Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No
"estPerMed 1, Breast",Personalised Risk-based Breast Cancer Prevention and Screening,Unknown status,Interventional,"Active Comparator, Active Comparator, No Intervention",Diagnostic Test,Parallel Assignment,Not Applicable,No,No
68824072019,Risk Reduction Program for Women Having High Risk of Breast Cancer,Completed,Interventional,"Experimental, No Intervention",Behavioral,Parallel Assignment,Not Applicable,No,No
20220303swj0211,The Psychology Intervention on Disease Acceptance and Quality of Life in Breast Cancer Patients,Not yet recruiting,Interventional,"Experimental, Other",Behavioral,Parallel Assignment,Not Applicable,No,No
RC20_0532,Breast Cancer Screening Uptake: a Randomized Controlled Trial Assessing the Effect of a Decisional Aid,Not yet recruiting,Interventional,"Experimental, No Intervention",Other,Parallel Assignment,Not Applicable,No,No
KMUHIRB-E(I)-20200041,"Develop and Evaluate the Effectiveness of a Self-Care Smartphone Application on the Self-Efficacy, and Resilience Among Newly Diagnosed Breast Cancer Patients Undergoing Treatment",Completed,Interventional,"Experimental, No Intervention",Device,Parallel Assignment,Not Applicable,No,No
4452,Development of a Horizontal Data Integration Classifier for Noninvasive Early Diagnosis of Breast Cancer,"Active, not recruiting",Interventional,"Experimental, Active Comparator","Diagnostic Test, Diagnostic Test",Sequential Assignment,Not Applicable,No,No
SK-421-BRCA,A Digital Solution for Breast Cancer Patients,Recruiting,Interventional,"Experimental, No Intervention",Device,Parallel Assignment,Not Applicable,No,No
autotaxin1,Autotaxin: a Potential Biomarker for Breast Cancer.,Completed,Interventional,"Active Comparator, Sham Comparator",Biological,Parallel Assignment,Not Applicable,No,No
DS8201-A-U302,"DS-8201a Versus T-DM1 for Human Epidermal Growth Factor Receptor 2 (HER2)-Positive, Unresectable and/or Metastatic Breast Cancer Previously Treated With Trastuzumab and Taxane [DESTINY-Breast03]","Active, not recruiting",Interventional,"Experimental, Active Comparator","Drug, Drug",Parallel Assignment,Phase 3,Yes,No
CCR 5113,PIONEER Study of Lifestyle Intervention to Reduced Breast Cancer Risk,"Active, not recruiting",Interventional,"No Intervention, No Intervention, Experimental, Experimental, Experimental, Experimental",Behavioral,Parallel Assignment,Not Applicable,No,No
ICO-N-2017-02,Sentinel Lymph Node Procedure in Ipsilateral Invasive Breast Cancer Relapse,Terminated,Interventional,Experimental,Procedure,Single Group Assignment,Not Applicable,No,No
medicin,Autotaxin (ATX) as a Marker for Breast Cancer,Unknown status,Interventional,"Experimental, Placebo Comparator","Diagnostic Test, Radiation, Diagnostic Test, Diagnostic Test, Radiation, Diagnostic Test, Diagnostic Test, Diagnostic Test, Diagnostic Test, Other, Other",Parallel Assignment,Not Applicable,No,No
METCZ20200211,Magnetic Tracer in the Sentinel Node Procedure in Breast Cancer: the Non-radioactive Alternative for Radio-isotopes,Completed,Interventional,Experimental,Procedure,Single Group Assignment,Not Applicable,No,No
2020-A00058-31,Interest of Broadband Spectroscopy Analysis by Infrared Laser on Liquid Biopsies in Breast Cancer Screening,Recruiting,Interventional,"Other, Other, Other",Other,Parallel Assignment,Not Applicable,No,No
351-19,mULM to Support Breast Cancer Diagnosis and Therapy,Recruiting,Interventional,Other,Diagnostic Test,Single Group Assignment,Not Applicable,No,No
