ID,title,actual_duration,status,study_type,fda_regulated_drug,fda_regulated_device,responsible_party,enrollment_count
BTX-BCI-016-PRT,Breast Cancer Index (BCI) Registry,7.638356164383563,Recruiting,Observational,No,No,Sponsor,3000
2018-TJ-BCD,Diagnosis Value of SEMA4C in Breast Cancer,1.0027397260273974,Not yet recruiting,Observational,No,No,Principal Investigator,2300
Breast cancer,Role of Sorcin and Annexin A3 in Breast Cancer Patients,0.6931506849315069,Unknown status,Observational,No,No,Principal Investigator,80
BC-BOMET,Evaluation of Prognostic Factors: From Breast Cancer to Bone Metastases,4.835616438356165,Recruiting,Observational,No,No,Sponsor,30
241391,A Study to Identify Breast Cancer (IDBC),3.9369863013698634,Unknown status,Observational,No,No,Sponsor,600
IL-TM-B1-01,Blood Test for Early Detection of Breast Cancer Using Todos Medical -Breast 1(TM-B1) Assay,1.4383561643835616,Unknown status,Observational,No,No,Sponsor,200
FH-Risk 2.0 Research Protocol,FH-Risk 2.0: Updating Breast Cancer Risk Estimates,2.671232876712329,Recruiting,Observational,No,No,Principal Investigator,271
ID-RPSBC-01-20201012,Genetic and Non-Genetic Breast Cancer Risk Prediction Evaluation in Indonesian Samples,2.712328767123288,Recruiting,Observational,No,No,Sponsor,316
IRST174.22,What is the Best Interval to Screen Women 45-49 and 70-74 for Breast Cancer?,5.991780821917808,Recruiting,Interventional,No,No,Sponsor,60000
ANILERGİNN,Weight Loss and Breast Cancer,3.378082191780822,Not yet recruiting,Observational,No,No,Principal Investigator,300
32155120.7.0000.0072,Breast Cancer Survivors: Main Physical and Psychosocial Problems After Completion of Treatment,2.073972602739726,Unknown status,Observational,No,No,Principal Investigator,105
GCO 17-2188,Increasing African Immigrant Womens Participation in Breast Cancer Screening,3.3205479452054796,Recruiting,Interventional,No,No,Principal Investigator,168
233756,The HIFUB Study (HIFU in Breast Cancer),0.5041095890410959,Not yet recruiting,Interventional,No,No,Sponsor,15
D16196,A Pilot Multi-Institutional Study to Evaluate the Accuracy of a Breast Cancer Locator in Patients With Palpable Cancers,2.8684931506849316,Completed,Interventional,No,Yes,Principal Investigator,18
RO1912-30902,RCT Comparing 2 Radiotherapy HypoFractionation Schedules In Breast Cancer Patients,2.0876712328767124,Unknown status,Interventional,No,No,Principal Investigator,166
UMCC 2021.087,Avoiding Low-value Treatments in Older Women With Early-stage Breast Cancer: Piloting a Patient Decision Aid,0.9698630136986303,Recruiting,Interventional,No,No,Sponsor,40
LNs Staging of Breast cancer,Role of Ultrasound-Guided Lymph Node Biopsy in Axillary Staging of Breast Cancer.,3.16986301369863,Unknown status,Interventional,No,No,Principal Investigator,50
