ID,title,status,study_type,observational_study_model,target_duration,sampling_method,fda_regulated_drug,fda_regulated_device
BTX-BCI-016-PRT,Breast Cancer Index (BCI) Registry,Recruiting,Observational,Case-Only,5 Years,Non-Probability Sample,No,No
2018-TJ-BCD,Diagnosis Value of SEMA4C in Breast Cancer,Not yet recruiting,Observational,Case-Control,,Non-Probability Sample,No,No
Breast cancer,Role of Sorcin and Annexin A3 in Breast Cancer Patients,Unknown status,Observational,Case-Control,,Probability Sample,No,No
BC-BOMET,Evaluation of Prognostic Factors: From Breast Cancer to Bone Metastases,Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No
241391,A Study to Identify Breast Cancer (IDBC),Unknown status,Observational,Cohort,1 Year,Non-Probability Sample,No,No
IL-TM-B1-01,Blood Test for Early Detection of Breast Cancer Using Todos Medical -Breast 1(TM-B1) Assay,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
FH-Risk 2.0 Research Protocol,FH-Risk 2.0: Updating Breast Cancer Risk Estimates,Recruiting,Observational,Other,,Non-Probability Sample,No,No
ID-RPSBC-01-20201012,Genetic and Non-Genetic Breast Cancer Risk Prediction Evaluation in Indonesian Samples,Recruiting,Observational,Case-Control,3 Months,Probability Sample,No,No
ANILERGİNN,Weight Loss and Breast Cancer,Not yet recruiting,Observational,Cohort,10 Years,Probability Sample,No,No
32155120.7.0000.0072,Breast Cancer Survivors: Main Physical and Psychosocial Problems After Completion of Treatment,Unknown status,Observational,Cohort,,Probability Sample,No,No
Yuan Shifang-1,Detection of Circulating Tumor Cells in Breast Cancer Patients Using a Novel Microfluidic and Raman Spectrum Device,Unknown status,Observational,Cohort,,Probability Sample,No,No
PI-2842,Study for the Knowledge of Risk Factors Associated With Breast Cancer in Women,Completed,Observational,Cohort,,Probability Sample,No,No
NCC2985,Characteristics and Treatment Trends of Young Breast Cancer in China,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
260281,Sodium (23Na) MRI for Tumour Characterisation and Assessment of Therapy Response in Breast Cancer,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
V1 11.12. 2020 (C.I.R.E.C.),Onco-liq: Kit for Breast Cancer Diagnosis.,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
CLM-INS-004,PERSONAL - Sleep In Breast Cancer,Completed,Observational,Cohort,,Probability Sample,No,No
miRNA in breast cancer,Aberrant Expression of Micro RNA for Diagnosis of Breast Cancer,Not yet recruiting,Observational,Case-Control,,Non-Probability Sample,No,No
MC1933,Development of Patient Derived Xenografts (PDX) in Patients With Breast Cancer,Recruiting,Observational,Case-Only,,Probability Sample,No,No
RADIOVAL,Clinical Validation of Radiomics Artificial Intelligence: Application to Breast Cancer Treatment Planning,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
CE21096B,Factors Affecting Rehabilitation Time for Postoperative Complications Among Breast Cancer Patients,Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No
MicroRNA in breast cancer,Diagnostic and Prognostic Value of MicroRNA in Breast Cancer Patients,Not yet recruiting,Observational,Case-Control,,Probability Sample,No,No
GEICAM/2016-04,Study on the Progress of Breast Cancer Cases in Males and the Assessment of Relapse Risk,"Active, not recruiting",Observational,Case-Only,,Probability Sample,No,No
BMIBC,Impact of Body Mass Index on Outcomes of Breast Cancer Management,Unknown status,Observational,Case-Control,,Probability Sample,No,No
3.0840453,Phenotype and Prognosis of Patients With Breast Cancer and Pathogenic Variants of TP53,Completed,Observational,Case-Control,,Probability Sample,No,No
HKG-KZ-BrCa-101,"Detection of Breast Cancer With Non-invasive Method Based on DNA Methylation of Circulated Tumor DNA, PBMC",Terminated,Observational,Case-Control,,Non-Probability Sample,No,No
Hibiscuss,"Breast Cancer Detection in Breast Surgical Specimens With the Histolog Scanner, Slide-free Confocal Microscope",Completed,Observational,Other,,Probability Sample,No,No
Pro00107118,A Pilot Study of a Micro-Organosphere Drug Screen Platform to Lead Care in Advanced Breast Cancer,Recruiting,Observational,Cohort,1 Year,Probability Sample,No,No
SNAPS Breast Cancer,SNAPS Breast Cancer Patient Study Breast Cancer Patients,Suspended,Observational,Case-Control,,Probability Sample,No,No
ZCHBC022,Dynamic Contrast-enhanced MRI Combined With IVIM-DWI for Early Prediction of Chemosensitivity in Liver MBC,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
R.18.02.34.R1.R2,Association of Hepatitis C Virus With Breast Cancer,Completed,Observational,Case-Control,,Non-Probability Sample,No,No
112991,Hybrid PET/MR Imaging of Acute Cardiac Inflammation After Left-Sided Breast Cancer Radiotherapy,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
TET-21-001,Identification of Breast Cancer Specific Markers in Patients Compared to Healthy Participants,Recruiting,Observational,Case-Control,,Probability Sample,No,No
3055,Correlation of Predictive Accuracy of PREDICT Version 2.2 of Indian Women With Operable Breast Cancer,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No
Breast Cancer Risk,Breast Cancer Risk From Sonographic Glandular Tissue Component (or International GTC Study),Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
VGHKS18-CT11-17,CEDM as a Screening Tool for Breast Cancer in Higher-risk Women: A Prospective Study,Completed,Observational,Cohort,,Non-Probability Sample,No,No
832165,Imaging of Primary or Recurrent Breast Cancer With 18F-FluorThanatrace PET/CT,Recruiting,Observational,Case-Only,,Non-Probability Sample,Yes,No
ICO-2019-08,Interest of Touch-massage in Hospital Day Care,Completed,Observational,Cohort,,Non-Probability Sample,No,No
biomarkers in breast cancer,Circular RNA and Chemerin in Breast Cancer Patient,Not yet recruiting,Observational,Case-Control,,Probability Sample,No,No
GEICAM/2017-07,Registry Study of Pregnancy and Breast Cancer,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No
LCCC2207,"Evaluation of the Acceptability, Appropriateness, and Feasibility/Usability of a Metastatic Breast-cancer Specific Prognostic Calculator Among Clinicians",Recruiting,Observational,Ecologic or Community,,Non-Probability Sample,No,No
MCC-21448,Study of Screening Brain MRIs in Stage IV Breast Cancer,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No
2017-0588,Implementation of a Web-based Decision Aid for Breast Cancer Surgery,Completed,Observational,Cohort,,Non-Probability Sample,No,No
UPCC 19121,Role of the Immune Environment in Response to Therapy in Breast Cancer,Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No
21-480,A Formative Evaluation For Improving Breast Cancer Hormone Receptor Testing in Tanzania,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
LQ005,Predicted Biomarkers of CDK4/6 Inhibitors (Palbociclib) in ER-positive Metastasis Breast Cancer,Unknown status,Observational,Cohort,,Probability Sample,Yes,No
2021LC2210,Remote Breast Cancer Screening Study,Recruiting,Observational,Case-Only,,Probability Sample,No,No
17-581,Understanding Barriers to Initiation and Adherence to Endocrine Therapy in Young Breast Cancer Survivors of Diverse Backgrounds,Completed,Observational,Other,,Probability Sample,No,No
NCC3299,Construction and Validation of an Assessment Model of PCR After NAT on Breast Cancer Patients With AI Technology,Recruiting,Observational,Other,,Non-Probability Sample,No,No
ESR-21-21505,The Treatment Situation of Chinese County Population With Breast Cancer,Recruiting,Observational,Other,,Probability Sample,No,No
LUMHS/REC/-17,Association of Tumour Grade and Sex Steroid Receptor as a Prognostic Index in Breast Cancer,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
2014P002688a,Promoting Earlier Detection of Breast Cancer in Rwanda: Scaleup in the National Health Care System,Completed,Observational,Cohort,,Non-Probability Sample,No,No
ODELIA,A Retrospective Analysis of Magnetic Resonance Imaging Data for Breast Cancer Screening in the Open Consortium for Decentralized Medical Artificial Intelligence,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No
2018-TJ-BCP,SEMA4C as a Relapse Biomarker in Breast Cancer,Not yet recruiting,Observational,Other,,Non-Probability Sample,No,No
2017-03-002A,PET/MR Radiomics for Breast Cancer Diagnosis,Recruiting,Observational,Cohort,40 Weeks,Non-Probability Sample,No,No
1905795920,Breast Cancer Self-Efficacy Scale for Partners,Terminated,Observational,Cohort,,Non-Probability Sample,No,No
4-2018-0254,Brain Monitoring for High Risk of Brain Metastases in Metastatic Breast Cancer,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
CDK-HeCOG-2019,Clinical Outcome and Toxicity Data in Patients With Advanced Breast Cancer Treated With CDK Inhibitors Combined With Endocrine Therapy,Completed,Observational,Cohort,,Non-Probability Sample,No,No
2020-0327,Comparison of MRI With PET / CT in the Evaluation of Response to Neoadjuvant Therapy Based on the Molecular Subtypes of Breast Cancer,Completed,Observational,Cohort,,Non-Probability Sample,No,No
SH ABCD,Autoantibodies in Breast Cancer Detection,Recruiting,Observational,Cohort,5 Years,Non-Probability Sample,No,No
1905202-3,ScreenIng of Genetic Susceptibility Genes for Breast Cancer Patients in CHinese communiTies,Recruiting,Observational,Case-Only,,Probability Sample,No,No
2022-8048-23560,Frequency of Occult Breast Cancer After Prophylactic Mastectomy Among High-Penetrance Breast Cancer Gene Positives,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No
GFY202001,Study of Prediction of Ovarian Reserve in Yong Breast Cancer Patients Treated With Chemotherapy,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
2019-A01861-56,Correlation Between TILs and Blood Cell Counts in Triple Negative Breast Cancer Patients,Recruiting,Observational,Cohort,,Probability Sample,No,No
18-634,Elevate! : An Elderly Breast Cancer Cohort Study,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
20 KHCC 202,Universal Genetic Testing Versus Guidelines-Directed Testing for Germline Pathogenic Variants Among Non-Western Patients With Breast Cancer,Recruiting,Observational,Cohort,,Probability Sample,No,No
IRB # 21-0026,Tear Based Sample Collection Breast Cancer Detection,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No
IRB00002991,Implementation of Online Adaptive Radiotherapy for Breast Cancer Patients on Ethos (BREAST-ART),Recruiting,Observational,Cohort,,Probability Sample,No,No
LCCC 1954,Patient-centered Communication About Healthy Weight in Early Breast Cancer,Completed,Observational,Cohort,,Probability Sample,No,No
ESR-17-12934,Study Estimating Association Between Germline Mutations and PD-L1 Expression in Breast Cancer,Unknown status,Observational,Case-Control,,Probability Sample,No,No
69HCL22_0613,Effect of Physical Activity in Patients With Breast Cancer.,Withdrawn,Observational,Cohort,,Non-Probability Sample,No,No
LCCC2213,Metastatic Breast Cancer-Specific Prognostic Tool,Recruiting,Observational,Ecologic or Community,,Non-Probability Sample,No,No
FMASUMD232/2021,Circulating microRNA 21 Expression Level Before and After Neoadjuvant Systemic Therapy in Breast Carcinoma,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
Breast immune checkpoint,Relationship Between Breast Cancer Subtypes and Immune Checkpoints,Completed,Observational,Case-Control,2 Weeks,Non-Probability Sample,No,No
CentroHLO_EFBreastCancer,Evaluating and Following Breast Cancer Patients in a Better Way,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
elastography in breast cancer,Shear Wave Elastography Assessment of Neoadjuvant Chemotherapy Response in Patients With Invasive Breast Cancer,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
2018-177-IMP-EXP-4,Tumor-Infiltrating Lymphocytes and Programmed Cell Death - Ligand 1 in Breast Cancer,Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No
PROICM 2020-01 OST,Evaluation of the Prevalence of Pelvic Static Disorders in Women With Localized Breast Cancer,Completed,Observational,Cohort,,Probability Sample,No,No
18-281,Prospective Study of the Prosigna Assay on Neoadjuvant Clinical Decision-making in Women With HR+/Her2- Breast Cancer,Recruiting,Observational,Other,,Probability Sample,No,No
2021-A02676-35,Establishment of an ex Vivo Tumor Collection of Triple-negative Breast Cancers in Order to Validate the Interest of Innovative Therapies and the Search for Predictive Biomarkers of Response to Treatment,Recruiting,Observational,Cohort,,Probability Sample,No,No
84434789,Looking At Triple Negative Breast Cancer Patient Experience Patterns in Medical Trials,Not yet recruiting,Observational,Case-Crossover,,Probability Sample,No,No
2021-004,Acute Effects of Chemotherapy Administration on Skeletal Muscle of Breast Cancer Patients: the PROTECT-06 Study,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
CBS-PIK3CA,Validation of Molecular Diagnostic Assays to Detect Cancer Biomarkers in Blood & Primary Tumor in ER+/HER2- MBC,"Active, not recruiting",Observational,Other,,Probability Sample,No,No
ARNA Breast 2021,"In Vitro Study of the Liquid Biopsy Test System of the Diagnostic Value, in Women With Various Forms of Breast Cancer",Unknown status,Observational,Case-Control,,Probability Sample,No,No
SNP-17-001,Clinical Implementation of a Polygenic Risk Score (PRS) for Breast Cancer,Completed,Observational,Cohort,,Probability Sample,No,No
69HCL18_0769,Awareness About Breast Cancer Screening,Completed,Observational,Ecologic or Community,,Non-Probability Sample,No,No
2394,Predictive Model of Axillary Nodal Status After Neoadjuvant Chemotherapy in Breast Cancer Patients,"Active, not recruiting",Observational,Cohort,,Probability Sample,No,No
