ID,Gender,Minimum_Age,Healthy_Volunteers
BTX-BCI-016-PRT,Female,18 ,No
2018-TJ-BCD,Female,18 ,No
Breast cancer,Female,20 ,Accepts Healthy Volunteers
BC-BOMET,Female,18 ,No
241391,Female,30 ,Accepts Healthy Volunteers
IL-TM-B1-01,Female,25 ,No
FH-Risk 2.0 Research Protocol,Female,25 ,Accepts Healthy Volunteers
ID-RPSBC-01-20201012,Female,35 ,Accepts Healthy Volunteers
IRST174.22,Female,45 ,No
ANILERGİNN,Female,40 ,No
32155120.7.0000.0072,Female,20 ,No
GCO 17-2188,All,18 ,Accepts Healthy Volunteers
233756,Female,18 ,Accepts Healthy Volunteers
D16196,Female,18 ,No
RO1912-30902,Female,18 ,No
UMCC 2021.087,Female,70 ,No
LNs Staging of Breast cancer,Female,18 ,No
SA18i0002,Female,50 ,Accepts Healthy Volunteers
494936,Female,40 ,No
042210,All,18 ,No
Yuan Shifang-1,Female,20 ,Accepts Healthy Volunteers
(818)109A-57,Female,20 ,No
21 SEIN 01,Female,18 ,No
18-181,Female,18 ,No
catheter guided chemo-infusion,Female,18 ,No
2020/132,Female,40 ,Accepts Healthy Volunteers
17-689,Female,30 ,No
831804,All,18 ,No
PI-2842,Female,18 ,No
NCC2985,All,18 ,nan
260281,Female,18 ,Accepts Healthy Volunteers
V1 11.12. 2020 (C.I.R.E.C.),Female,50 ,Accepts Healthy Volunteers
154/2019,Female,18 ,No
Amr Ahmed,Female,18 ,Accepts Healthy Volunteers
CLM-INS-004,All,18 ,No
2022-11-076-002,Female,20 ,Accepts Healthy Volunteers
Health Literacy of Breast Ca,All,18 ,Accepts Healthy Volunteers
miRNA in breast cancer,Female,20 ,nan
MC1933,All,18 ,No
RADIOVAL,Female,18 ,nan
CE21096B,Female,20 ,No
ZY(2018-2020)-CCCX-2005-04,Female,18 ,No
MicroRNA in breast cancer,Female,18 ,nan
GEICAM/2016-04,Male,18 ,No
22IC7498,Female,50 ,Accepts Healthy Volunteers
BMIBC,Female,20 ,No
3.0840453,All,18 ,No
18 SEIN 11,Female,18 ,No
HKG-KZ-BrCa-101,Female,18 ,Accepts Healthy Volunteers
Hibiscuss,Female,18 ,No
Pro00107118,All,18 ,No
SNAPS Breast Cancer,Female,18 ,No
17-447,Female,18 ,No
22-509,Female,22 ,No
ZCHBC022,All,18 ,No
R.18.02.34.R1.R2,Female,18 ,Accepts Healthy Volunteers
ID-BCRPS-02-20220913,Female,25 ,Accepts Healthy Volunteers
112991,Female,18 ,No
17-01549,Female,25 ,Accepts Healthy Volunteers
TET-21-001,Female,18 ,Accepts Healthy Volunteers
202101073,Female,40 ,Accepts Healthy Volunteers
"estPerMed 1, Breast",Female,25 ,No
68824072019,Female,25 ,Accepts Healthy Volunteers
3055,Female,18 ,No
20220303swj0211,Female,18 ,No
RC20_0532,Female,50 ,No
Breast Cancer Risk,Female,40 ,nan
KMUHIRB-E(I)-20200041,All,20 ,No
VGHKS18-CT11-17,Female,20 ,Accepts Healthy Volunteers
832165,All,18 ,nan
ICO-2019-08,Female,18 ,nan
biomarkers in breast cancer,Female,18 ,Accepts Healthy Volunteers
GEICAM/2017-07,Female,18 ,No
LCCC2207,All,nan,Accepts Healthy Volunteers
MCC-21448,All,18 ,No
4452,Female,18 ,Accepts Healthy Volunteers
2017-0588,All,18 ,No
SK-421-BRCA,Female,18 ,No
autotaxin1,Female,18 ,Accepts Healthy Volunteers
UPCC 19121,Female,18 ,No
DS8201-A-U302,All,18 ,No
CCR 5113,Female,30 ,No
21-480,All,18 ,Accepts Healthy Volunteers
LQ005,Female,18 ,No
ICO-N-2017-02,nan,18 ,No
medicin,Female,19 ,Accepts Healthy Volunteers
METCZ20200211,Female,18 ,No
2021LC2210,Female,35 ,No
17-581,Female,18 ,Accepts Healthy Volunteers
2020-A00058-31,Female,18 ,Accepts Healthy Volunteers
NCC3299,Female,18 ,No
351-19,Female,18 ,Accepts Healthy Volunteers
ESR-21-21505,All,18 ,No
LUMHS/REC/-17,All,nan,Accepts Healthy Volunteers
PekingUPH10B004,Female,18 ,No
2014P002688a,All,nan,No
ODELIA,Female,18 ,nan
CD3-MUC1 in breast cancer,All,18 ,No
LCCC 1829,All,18 ,No
2022-080,Female,18 ,No
2018-TJ-BCP,Female,18 ,No
20218,All,18 ,No
2017-03-002A,Female,25 ,No
LA LEAST,Female,51 ,No
1905795920,All,18 ,Accepts Healthy Volunteers
2015-004027-31,Female,18 ,No
4-2018-0254,All,19 ,No
BREACE,Female,65 ,No
495077,Female,18 ,No
CCR4684,All,18 ,No
211753,Female,25 ,Accepts Healthy Volunteers
1705018188,Female,25 ,No
22-136,Female,18 ,No
CDK-HeCOG-2019,Female,18 ,No
2020-0327,Female,18 ,Accepts Healthy Volunteers
RECO_CT29B,All,18 ,Accepts Healthy Volunteers
SH ABCD,Female,18 ,No
D8531C00002,All,18 ,No
SOLTI-1910,All,18 ,No
1905202-3,All,nan,No
Targeted axillary dissection,Female,15 ,Accepts Healthy Volunteers
2022-8048-23560,All,20 ,Accepts Healthy Volunteers
2021-0215,Female,18 ,No
GFY202001,Female,18 ,No
2019-A01861-56,Female,18 ,Accepts Healthy Volunteers
18-634,Female,70 ,No
20 KHCC 202,All,18 ,nan
IRB # 21-0026,Female,18 ,No
IRB00002991,All,18 ,No
17-398,All,18 ,No
LCCC 1954,All,21 ,No
ESR-17-12934,Female,18 ,No
69HCL22_0613,Female,18 ,No
LCCC2213,All,18 ,No
IC 2018-01,Female,18 ,No
IC 2020 08,Female,18 ,Accepts Healthy Volunteers
PI17/00834,Female,40 ,Accepts Healthy Volunteers
PekingUMCH-FAPI-BC-1,Female,18 ,No
PekingUMCH-FAPI-BC-2,Female,18 ,No
