ID,Title,Start_Date,Completion_Date,Actual_Duration,Status,Study_Type
BTX-BCI-016-PRT,Breast Cancer Index (BCI) Registry,2021-04-14,2028-12-01,2788 days,Recruiting,Observational
2018-TJ-BCD,Diagnosis Value of SEMA4C in Breast Cancer,2023-09-01,2024-09-01,366 days,Not yet recruiting,Observational
Breast cancer,Role of Sorcin and Annexin A3 in Breast Cancer Patients,2019-01-20,2019-09-30,253 days,Unknown status,Observational
BC-BOMET,Evaluation of Prognostic Factors: From Breast Cancer to Bone Metastases,2020-01-13,2024-11-12,1765 days,Recruiting,Observational
241391,A Study to Identify Breast Cancer (IDBC),2019-01-24,2022-12-31,1437 days,Unknown status,Observational
IL-TM-B1-01,Blood Test for Early Detection of Breast Cancer Using Todos Medical -Breast 1(TM-B1) Assay,2018-01-22,2019-07-01,525 days,Unknown status,Observational
FH-Risk 2.0 Research Protocol,FH-Risk 2.0: Updating Breast Cancer Risk Estimates,2022-03-01,2024-10-31,975 days,Recruiting,Observational
ID-RPSBC-01-20201012,Genetic and Non-Genetic Breast Cancer Risk Prediction Evaluation in Indonesian Samples,2020-10-13,2023-06-30,990 days,Recruiting,Observational
IRST174.22,What is the Best Interval to Screen Women 45-49 and 70-74 for Breast Cancer?,2020-02-06,2026-02-01,2187 days,Recruiting,Interventional
ANILERGİNN,Weight Loss and Breast Cancer,2022-12-15,2026-05-01,1233 days,Not yet recruiting,Observational
32155120.7.0000.0072,Breast Cancer Survivors: Main Physical and Psychosocial Problems After Completion of Treatment,2020-10-05,2022-11-01,757 days,Unknown status,Observational
GCO 17-2188,Increasing African Immigrant Womens Participation in Breast Cancer Screening,2020-02-05,2023-06-01,1212 days,Recruiting,Interventional
233756,The HIFUB Study (HIFU in Breast Cancer),2022-05-01,2022-11-01,184 days,Not yet recruiting,Interventional
D16196,A Pilot Multi-Institutional Study to Evaluate the Accuracy of a Breast Cancer Locator in Patients With Palpable Cancers,2018-05-24,2021-04-05,1047 days,Completed,Interventional
RO1912-30902,RCT Comparing 2 Radiotherapy HypoFractionation Schedules In Breast Cancer Patients,2020-01-01,2022-02-01,762 days,Unknown status,Interventional
