ID,FDA_Regulated_Drug,FDA_Regulated_Device,Responsible_Party
BTX-BCI-016-PRT,No,No,Sponsor
2018-TJ-BCD,No,No,Principal Investigator
Breast cancer,No,No,Principal Investigator
BC-BOMET,No,No,Sponsor
241391,No,No,Sponsor
IL-TM-B1-01,No,No,Sponsor
FH-Risk 2.0 Research Protocol,No,No,Principal Investigator
ID-RPSBC-01-20201012,No,No,Sponsor
IRST174.22,No,No,Sponsor
ANILERGİNN,No,No,Principal Investigator
32155120.7.0000.0072,No,No,Principal Investigator
GCO 17-2188,No,No,Principal Investigator
233756,No,No,Sponsor
D16196,No,Yes,Principal Investigator
RO1912-30902,No,No,Principal Investigator
UMCC 2021.087,No,No,Sponsor
LNs Staging of Breast cancer,No,No,Principal Investigator
SA18i0002,No,No,Sponsor
494936,No,No,Sponsor
042210,Yes,No,Principal Investigator
Yuan Shifang-1,No,No,Principal Investigator
(818)109A-57,No,No,Sponsor
21 SEIN 01,No,No,Sponsor
18-181,No,No,Principal Investigator
catheter guided chemo-infusion,No,No,Principal Investigator
2020/132,No,No,Principal Investigator
17-689,No,Yes,Principal Investigator
831804,Yes,No,Sponsor
PI-2842,No,No,Sponsor
NCC2985,No,No,Principal Investigator
260281,No,No,Principal Investigator
V1 11.12. 2020 (C.I.R.E.C.),No,No,Principal Investigator
154/2019,No,No,Principal Investigator
Amr Ahmed,Yes,No,Principal Investigator
CLM-INS-004,No,No,Sponsor
2022-11-076-002,No,No,Principal Investigator
Health Literacy of Breast Ca,No,No,Principal Investigator
miRNA in breast cancer,No,No,Principal Investigator
MC1933,No,No,Sponsor
RADIOVAL,No,No,Sponsor
CE21096B,No,No,Sponsor
ZY(2018-2020)-CCCX-2005-04,No,No,Principal Investigator
MicroRNA in breast cancer,No,No,Principal Investigator
GEICAM/2016-04,No,No,Sponsor
22IC7498,No,No,Sponsor
BMIBC,No,No,Principal Investigator
3.0840453,No,No,Sponsor
18 SEIN 11,No,No,Sponsor
HKG-KZ-BrCa-101,No,No,Sponsor
Hibiscuss,No,No,Sponsor
Pro00107118,No,No,Sponsor
SNAPS Breast Cancer,No,No,Sponsor
17-447,Yes,No,Sponsor-Investigator
22-509,No,No,Principal Investigator
