ID,Study_Type,Arm_Group_Type,Intervention_Type,Interventional_Study_Model,Observational_Study_Model,Target_Duration,Sampling_Method,Phase
BTX-BCI-016-PRT,Observational,,Diagnostic Test,,Case-Only,5 Years,Non-Probability Sample,
2018-TJ-BCD,Observational,,Diagnostic Test,,Case-Control,,Non-Probability Sample,
Breast cancer,Observational,,Genetic,,Case-Control,,Probability Sample,
BC-BOMET,Observational,,Other,,Case-Control,,Non-Probability Sample,
241391,Observational,,Diagnostic Test,,Cohort,1 Year,Non-Probability Sample,
IL-TM-B1-01,Observational,,Diagnostic Test,,Cohort,,Non-Probability Sample,
FH-Risk 2.0 Research Protocol,Observational,,Other,,Other,,Non-Probability Sample,
ID-RPSBC-01-20201012,Observational,,Diagnostic Test,,Case-Control,3 Months,Probability Sample,
IRST174.22,Interventional,No Intervention,Diagnostic Test,Parallel Assignment,,,,Not Applicable
ANILERGİNN,Observational,,Diagnostic Test,,Cohort,10 Years,Probability Sample,
32155120.7.0000.0072,Observational,,Behavioral,,Cohort,,Probability Sample,
GCO 17-2188,Interventional,Other,Behavioral,Single Group Assignment,,,,Not Applicable
233756,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
D16196,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
RO1912-30902,Interventional,Other,Radiation,Parallel Assignment,,,,Not Applicable
UMCC 2021.087,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
LNs Staging of Breast cancer,Interventional,Other,Procedure,Single Group Assignment,,,,Not Applicable
SA18i0002,Interventional,Active Comparator,Other,Parallel Assignment,,,,Not Applicable
494936,Interventional,Experimental,Genetic,Single Group Assignment,,,,Not Applicable
042210,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
Yuan Shifang-1,Observational,,Device,,Cohort,,Probability Sample,
(818)109A-57,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
21 SEIN 01,Interventional,Other,Other,Single Group Assignment,,,,Not Applicable
18-181,Interventional,Experimental,Other,Single Group Assignment,,,,Not Applicable
catheter guided chemo-infusion,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
2020/132,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
17-689,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
831804,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
PI-2842,Observational,,Behavioral,,Cohort,,Probability Sample,
NCC2985,Observational,,Procedure,,Cohort,,Non-Probability Sample,
260281,Observational,,Other,,Cohort,,Non-Probability Sample,
V1 11.12. 2020 (C.I.R.E.C.),Observational,,Diagnostic Test,,Cohort,,Non-Probability Sample,
154/2019,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
Amr Ahmed,Interventional,Experimental,Combination Product,Parallel Assignment,,,,Early Phase 1
CLM-INS-004,Observational,,Other,,Cohort,,Probability Sample,
2022-11-076-002,Interventional,Experimental,Diagnostic Test,Crossover Assignment,,,,Not Applicable
Health Literacy of Breast Ca,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
miRNA in breast cancer,Observational,,Diagnostic Test,,Case-Control,,Non-Probability Sample,
MC1933,Observational,,Procedure,,Case-Only,,Probability Sample,
RADIOVAL,Observational,,Other,,Cohort,,Non-Probability Sample,
CE21096B,Observational,,Procedure,,Case-Control,,Non-Probability Sample,
ZY(2018-2020)-CCCX-2005-04,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
MicroRNA in breast cancer,Observational,,Diagnostic Test,,Case-Control,,Probability Sample,
GEICAM/2016-04,Observational,,,,Case-Only,,Probability Sample,
22IC7498,Interventional,Active Comparator,Behavioral,Parallel Assignment,,,,Not Applicable
BMIBC,Observational,,,,Case-Control,,Probability Sample,
3.0840453,Observational,,Other,,Case-Control,,Probability Sample,
18 SEIN 11,Interventional,Experimental,Other,Single Group Assignment,,,,Phase 2
HKG-KZ-BrCa-101,Observational,,,,Case-Control,,Non-Probability Sample,
Hibiscuss,Observational,,Device,,Other,,Probability Sample,
Pro00107118,Observational,,Procedure,,Cohort,1 Year,Probability Sample,
SNAPS Breast Cancer,Observational,,Diagnostic Test,,Case-Control,,Probability Sample,
17-447,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
22-509,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
ZCHBC022,Observational,,Drug,,Cohort,,Non-Probability Sample,
R.18.02.34.R1.R2,Observational,,,,Case-Control,,Non-Probability Sample,
ID-BCRPS-02-20220913,Interventional,Experimental,Other,Single Group Assignment,,,,Not Applicable
112991,Observational,,Radiation,,Cohort,,Non-Probability Sample,
17-01549,Interventional,Active Comparator,Diagnostic Test,Single Group Assignment,,,,Not Applicable
TET-21-001,Observational,,,,Case-Control,,Probability Sample,
202101073,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
"estPerMed 1, Breast",Interventional,Active Comparator,Diagnostic Test,Parallel Assignment,,,,Not Applicable
68824072019,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
3055,Observational,,Other,,Cohort,,Non-Probability Sample,
20220303swj0211,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
RC20_0532,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
Breast Cancer Risk,Observational,,,,Cohort,,Non-Probability Sample,
KMUHIRB-E(I)-20200041,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
VGHKS18-CT11-17,Observational,,Device,,Cohort,,Non-Probability Sample,
832165,Observational,,Drug,,Case-Only,,Non-Probability Sample,
ICO-2019-08,Observational,,Behavioral,,Cohort,,Non-Probability Sample,
biomarkers in breast cancer,Observational,,Diagnostic Test,,Case-Control,,Probability Sample,
GEICAM/2017-07,Observational,,,,Case-Only,,Non-Probability Sample,
LCCC2207,Observational,,Behavioral,,Ecologic or Community,,Non-Probability Sample,
4452,Interventional,Experimental,Diagnostic Test,Sequential Assignment,,,,Not Applicable
MCC-21448,Observational,,Diagnostic Test,,Case-Only,,Non-Probability Sample,
2017-0588,Observational,,Other,,Cohort,,Non-Probability Sample,
SK-421-BRCA,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
autotaxin1,Interventional,Active Comparator,Biological,Parallel Assignment,,,,Not Applicable
UPCC 19121,Observational,,Other,,Case-Control,,Non-Probability Sample,
DS8201-A-U302,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
CCR 5113,Interventional,No Intervention,Behavioral,Parallel Assignment,,,,Not Applicable
21-480,Observational,,Behavioral,,Cohort,,Non-Probability Sample,
LQ005,Observational,,Drug,,Cohort,,Probability Sample,
ICO-N-2017-02,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
medicin,Interventional,Experimental,Diagnostic Test,Parallel Assignment,,,,Not Applicable
METCZ20200211,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
2021LC2210,Observational,,Diagnostic Test,,Case-Only,,Probability Sample,
17-581,Observational,,Other,,Other,,Probability Sample,
2020-A00058-31,Interventional,Other,Other,Parallel Assignment,,,,Not Applicable
NCC3299,Observational,,Other,,Other,,Non-Probability Sample,
351-19,Interventional,Other,Diagnostic Test,Single Group Assignment,,,,Not Applicable
ESR-21-21505,Observational,,Other,,Other,,Probability Sample,
LUMHS/REC/-17,Observational,,Other,,Cohort,,Non-Probability Sample,
PekingUPH10B004,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
2014P002688a,Observational,,Other,,Cohort,,Non-Probability Sample,
ODELIA,Observational,,Other,,Cohort,,Non-Probability Sample,
CD3-MUC1 in breast cancer,Interventional,Experimental,Biological,Parallel Assignment,,,,Phase 2
LCCC 1829,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
2022-080,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
