ID,title,actual_duration,status,study_type,arm_group_type,intervention_type,interventional_type_model,phase,fda_regulated_drug,fda_regulated_device,enrollment_count
IRST174.22,What is the Best Interval to Screen Women 45-49 and 70-74 for Breast Cancer?,2187 days,Recruiting,Interventional,"No Intervention, Experimental, Experimental",Diagnostic Test,Parallel Assignment,Not Applicable,No,No,60000
GCO 17-2188,Increasing African Immigrant Womens Participation in Breast Cancer Screening,1212 days,Recruiting,Interventional,Other,Behavioral,Single Group Assignment,Not Applicable,No,No,168
233756,The HIFUB Study (HIFU in Breast Cancer),184 days,Not yet recruiting,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,No,15
D16196,A Pilot Multi-Institutional Study to Evaluate the Accuracy of a Breast Cancer Locator in Patients With Palpable Cancers,1047 days,Completed,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,Yes,18
RO1912-30902,RCT Comparing 2 Radiotherapy HypoFractionation Schedules In Breast Cancer Patients,762 days,Unknown status,Interventional,"Other, Experimental",Radiation,Parallel Assignment,Not Applicable,No,No,166
UMCC 2021.087,Avoiding Low-value Treatments in Older Women With Early-stage Breast Cancer: Piloting a Patient Decision Aid,354 days,Recruiting,Interventional,Experimental,Behavioral,Single Group Assignment,Not Applicable,No,No,40
LNs Staging of Breast cancer,Role of Ultrasound-Guided Lymph Node Biopsy in Axillary Staging of Breast Cancer.,1157 days,Unknown status,Interventional,Other,Procedure,Single Group Assignment,Not Applicable,No,No,50
SA18i0002,The Effect of a Patient Decision Aids for Breast Cancer Screening,487 days,Recruiting,Interventional,"Active Comparator, Placebo Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No,3269
494936,Clinical Pilot Study for Personalized Risk-based Breast Cancer Screening,4666 days,Recruiting,Interventional,Experimental,Genetic,Single Group Assignment,Not Applicable,No,No,80
042210,Investigating the Metabolic Pathways in Hormone Receptor Positive/HER2 Negative Breast Cancer,1842 days,Not yet recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 1,Yes,No,16
(818)109A-57,Mobile Application Support for Women With Breast Cancer Undergoing Chemotherapy,959 days,Recruiting,Interventional,"Experimental, No Intervention",Device,Parallel Assignment,Not Applicable,No,No,70
21 SEIN 01,Circulating Cancer Cells/Macrophage HYbrid Cells in Patients With Breast Cancer.,485 days,Completed,Interventional,Other,Other,Single Group Assignment,Not Applicable,No,No,61
18-181,Exploring the Efficacy and Feasibility of the LymphaTech Scanner for Breast Cancer-Related Lymphedema Screening,2677 days,Recruiting,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No,100
catheter guided chemo-infusion,Catheter Guided Chemo-infusion in Breast Cancer,761 days,Not yet recruiting,Interventional,Experimental,Procedure,Single Group Assignment,Not Applicable,No,No,50
2020/132,Nurse Navigation Program Based On Health Belief Model In Breast Cancer Screening (NaHeB-CaS),245 days,Completed,Interventional,"Experimental, No Intervention",Behavioral,Single Group Assignment,Not Applicable,No,No,150
17-689,Contrast Enhanced Spectral Mammography vs. MRI for Breast Cancer Screening,1931 days,"Active, not recruiting",Interventional,Experimental,"Device, Device",Single Group Assignment,Not Applicable,No,Yes,82
