ID,title,actual_duration,status,study_type,observational_study_model,target_duration,sampling_method,fda_regulated_drug,fda_regulated_device,enrollment_count
BTX-BCI-016-PRT,Breast Cancer Index (BCI) Registry,7.638356164383563,Recruiting,Observational,Case-Only,5 Years,Non-Probability Sample,No,No,3000
2018-TJ-BCD,Diagnosis Value of SEMA4C in Breast Cancer,1.0027397260273974,Not yet recruiting,Observational,Case-Control,,Non-Probability Sample,No,No,2300
Breast cancer,Role of Sorcin and Annexin A3 in Breast Cancer Patients,0.6931506849315069,Unknown status,Observational,Case-Control,,Probability Sample,No,No,80
BC-BOMET,Evaluation of Prognostic Factors: From Breast Cancer to Bone Metastases,4.835616438356165,Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No,30
241391,A Study to Identify Breast Cancer (IDBC),3.9369863013698634,Unknown status,Observational,Cohort,1 Year,Non-Probability Sample,No,No,600
IL-TM-B1-01,Blood Test for Early Detection of Breast Cancer Using Todos Medical -Breast 1(TM-B1) Assay,1.4383561643835616,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No,200
FH-Risk 2.0 Research Protocol,FH-Risk 2.0: Updating Breast Cancer Risk Estimates,2.671232876712329,Recruiting,Observational,Other,,Non-Probability Sample,No,No,271
ID-RPSBC-01-20201012,Genetic and Non-Genetic Breast Cancer Risk Prediction Evaluation in Indonesian Samples,2.712328767123288,Recruiting,Observational,Case-Control,3 Months,Probability Sample,No,No,316
ANILERGİNN,Weight Loss and Breast Cancer,3.378082191780822,Not yet recruiting,Observational,Cohort,10 Years,Probability Sample,No,No,300
32155120.7.0000.0072,Breast Cancer Survivors: Main Physical and Psychosocial Problems After Completion of Treatment,2.073972602739726,Unknown status,Observational,Cohort,,Probability Sample,No,No,105
Yuan Shifang-1,Detection of Circulating Tumor Cells in Breast Cancer Patients Using a Novel Microfluidic and Raman Spectrum Device,2.9178082191780823,Unknown status,Observational,Cohort,,Probability Sample,No,No,120
PI-2842,Study for the Knowledge of Risk Factors Associated With Breast Cancer in Women,1.5013698630136987,Completed,Observational,Cohort,,Probability Sample,No,No,66
NCC2985,Characteristics and Treatment Trends of Young Breast Cancer in China,2.9178082191780823,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No,1000
260281,Sodium (23Na) MRI for Tumour Characterisation and Assessment of Therapy Response in Breast Cancer,5.3863013698630136,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,65
